time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.21241253862e-07,-4.85343013472e-08,10.0065743982,6.28312479151,6.28262134588,0.0,-1.07570599385e-05,-5.14205853101e-06,0.21912946418,-0.00310637708961,-0.0452904957768,0.0,475.5805551768269,472.0994189152537,472.6605256694967,472.4211305765619
0.12000000000000001,2.10676604862e-05,-2.04933544374e-06,10.023183725,4.21587178785e-05,6.27945991277,0.0,0.00103605487727,-6.44377508906e-05,0.334486894985,0.00993071040846,-0.0746813589501,0.0,442.32826016113194,439.89946932711234,441.97089626414464,443.0438922114501
0.18,0.000184099820459,-2.41874848659e-06,10.0480039811,0.000722962639211,6.27577303595,0.0,0.00484082876359,0.000122897149549,0.492797172623,0.014038162886,-0.0432328796193,0.0,454.7170948796362,457.22606596513316,454.19989481298956,454.52901335063035
0.23999999999999996,0.00063838777391,2.31515696828e-05,10.0806840027,0.00147349662281,6.27328559878,0.0,0.0105620495791,0.000811272167434,0.596485671508,0.00926019456067,-0.0381245115263,0.0,438.2940715659102,438.71741129713627,438.38804946230954,437.9908003971079
0.3,0.00148208506617,0.000104528083504,10.1192679852,0.00148608982164,6.27183121034,0.0,0.0177405682592,0.00194438687606,0.689593011311,-0.0322515658922,-0.00539859063172,0.0,434.24669988440104,436.98261037565607,436.3279168628303,432.84895496705127
0.36000000000000004,0.00279976887142,0.000246108024947,10.1651646683,6.28250059434,6.27135032471,0.0,0.0262244730819,0.00255164233344,0.840197021782,-0.0454969396525,-0.0138411949335,0.0,453.8660127970267,453.18812151770834,453.3965710761445,452.33070504137584
0.4200000000000001,0.0045763107854,0.000379244091029,10.2148804104,6.28003567931,6.27083083972,0.0,0.0330489324931,0.00166964362505,0.817010393795,-0.0334612941788,9.06910272849e-05,0.0,395.34351852686115,396.6250493522602,396.7511322538001,397.8533292077767
0.48000000000000015,0.00685537242171,0.000394905275004,10.270230249,6.27768571584,6.27100913556,0.0,0.0429061427263,-0.00140078358994,1.02781748339,-0.0541329268168,0.00818747882629,0.0,470.5984560709938,471.22463742644845,472.8188281046076,471.22299982633854
0.5400000000000001,0.00966138679911,0.000194207547865,10.3334043659,6.27470980023,6.27124601436,0.0,0.0505909134833,-0.0055821078452,1.07793864349,-0.0418003090475,-0.00627446738675,0.0,422.8912662497361,421.6438066245827,420.96020062913357,422.0241667793019
0.6000000000000002,0.0130116556865,-0.000375144980486,10.4066333866,6.27204909882,6.27055971451,0.0,0.0611461957741,-0.0137272108503,1.36272954585,-0.0499920310449,-0.0245488850389,0.0,494.72424806671506,493.3771337787308,492.7388322918545,492.1320138519057
0.6600000000000003,0.0170308303326,-0.00151612443527,10.497899781,6.26921589795,6.26886095755,0.0,0.0730316509198,-0.0246907376382,1.6790664296,-0.0421855028103,-0.0371652033544,0.0,503.16811779225384,502.2538841073932,502.37498595864224,502.93958042249403
0.7200000000000003,0.0217741307654,-0.00335207471762,10.6055479934,6.26623274634,6.26702287972,0.0,0.085316589722,-0.0368273379786,1.90884345397,-0.0723734108423,-0.0200240604886,0.0,479.1528835154472,480.45384505760217,479.3951981769654,477.094414231584
0.7800000000000004,0.0272493858759,-0.00594785438408,10.7241612823,6.26157356974,6.26568528963,0.0,0.0973236751983,-0.0501741936414,2.04468775822,-0.0911389539598,-0.0272681805567,0.0,452.0954474956307,451.5114017784625,452.36898944814243,450.85059731372877
0.8400000000000004,0.03342638573,-0.00938738289589,10.8481441884,6.25600740818,6.26387814895,0.0,0.108735248686,-0.0649911184694,2.08798131246,-0.0962449141431,-0.0365351979229,0.0,421.8511208859979,421.04982815603466,424.32626093333965,423.8799901987025
0.9000000000000005,0.0403554390439,-0.0138681621309,10.9763377181,6.25016744585,6.26219604333,0.0,0.122422212119,-0.084952501253,2.18493304084,-0.0996003773596,-0.0149279392961,0.0,440.02615897301007,441.81086821472593,439.8431033030787,439.5569061416731
0.9600000000000005,0.048258804553,-0.0198666650235,11.1161793771,6.24417146095,6.26175556257,0.0,0.141093462791,-0.115756988915,2.47584057232,-0.100606394983,0.00464098828598,0.0,497.976394244363,499.4058236183465,497.9909028272762,497.9098779083938
1.0200000000000005,0.057179257591,-0.0276663085529,11.2683471212,6.23819198956,6.26213040909,0.0,0.156214215913,-0.144851079546,2.59612355045,-0.09782664558,0.00928104971443,0.0,448.69297721905417,449.06940832766605,449.7813643803863,449.99800050099134
1.0800000000000005,0.067045103025,-0.0374418371682,11.4299819046,6.23262294908,6.26275524444,0.0,0.172568315481,-0.181640741855,2.79121262742,-0.0843245710646,0.0125885170775,0.0,473.24799454764974,473.5023710370557,471.3868102386064,472.4222009954493
1.1400000000000006,0.0778014605858,-0.0493620027938,11.5996166712,6.22751181703,6.26324113328,0.0,0.18590981868,-0.216186427928,2.86307206794,-0.0869643544522,-0.00287570512282,0.0,436.84597063312896,435.55447123394345,435.51599126210976,435.2890092650779
1.2000000000000006,0.0893475813276,-0.0634449878232,11.7733491598,6.22231363059,6.26319753967,0.0,0.198967026885,-0.253741125035,2.92781107363,-0.0859889844727,0.00325849025052,0.0,433.9181411305813,434.4328122454399,433.7321871303867,433.8076917672364
1.2600000000000007,0.101825193742,-0.0803433708692,11.9583994825,6.21732226012,6.26353733418,0.0,0.216899608162,-0.31016271563,3.23965067408,-0.0781110970605,0.0100846798125,0.0,507.24869933334253,507.73856505770726,507.67021608768215,508.23043710095055
